Epoch 1/3
------------------------------------------------------------
[1/1429] Loss: 0.7604 | LR: 0.005
[2/1429] Loss: 0.4168 | LR: 0.005
[3/1429] Loss: 1.1201 | LR: 0.005
[4/1429] Loss: 0.7965 | LR: 0.005
[5/1429] Loss: 0.4613 | LR: 0.005
[6/1429] Loss: 0.9111 | LR: 0.005
[7/1429] Loss: 0.2696 | LR: 0.005
[8/1429] Loss: 0.2968 | LR: 0.005
[9/1429] Loss: 0.9961 | LR: 0.005
[10/1429] Loss: 0.9101 | LR: 0.005
[11/1429] Loss: 1.0557 | LR: 0.005
[12/1429] Loss: 0.6076 | LR: 0.005
[13/1429] Loss: 0.9732 | LR: 0.005
[14/1429] Loss: 0.4128 | LR: 0.005
[15/1429] Loss: 0.5443 | LR: 0.005
[16/1429] Loss: 0.6765 | LR: 0.005
[17/1429] Loss: 0.9897 | LR: 0.005
[18/1429] Loss: 0.9472 | LR: 0.005
[19/1429] Loss: 1.1426 | LR: 0.005
[20/1429] Loss: 1.1006 | LR: 0.005
[21/1429] Loss: 1.1329 | LR: 0.005
[22/1429] Loss: 0.8953 | LR: 0.005
[23/1429] Loss: 0.5144 | LR: 0.005
[24/1429] Loss: 0.661 | LR: 0.005
[25/1429] Loss: 0.4536 | LR: 0.005
[26/1429] Loss: 0.547 | LR: 0.005
[27/1429] Loss: 0.3637 | LR: 0.005
[28/1429] Loss: 0.6766 | LR: 0.005
[29/1429] Loss: 0.8079 | LR: 0.005
[30/1429] Loss: 1.0085 | LR: 0.005
[31/1429] Loss: 0.388 | LR: 0.005
[32/1429] Loss: 0.5228 | LR: 0.005
[33/1429] Loss: 0.2915 | LR: 0.005
[34/1429] Loss: 0.6721 | LR: 0.005
[35/1429] Loss: 0.895 | LR: 0.005
[36/1429] Loss: 1.0155 | LR: 0.005
[37/1429] Loss: 0.6314 | LR: 0.005
[38/1429] Loss: 0.2208 | LR: 0.005
[39/1429] Loss: 0.5104 | LR: 0.005
[40/1429] Loss: 0.6986 | LR: 0.005
[41/1429] Loss: 0.6831 | LR: 0.005
[42/1429] Loss: 0.3846 | LR: 0.005
[43/1429] Loss: 0.9069 | LR: 0.005
[44/1429] Loss: 0.7284 | LR: 0.005
[45/1429] Loss: 0.2286 | LR: 0.005
[46/1429] Loss: 0.7828 | LR: 0.005
[47/1429] Loss: 0.9496 | LR: 0.005
[48/1429] Loss: 0.4692 | LR: 0.005
[49/1429] Loss: 1.1952 | LR: 0.005
[50/1429] Loss: 0.6513 | LR: 0.005
[51/1429] Loss: 1.058 | LR: 0.005
[52/1429] Loss: 0.4836 | LR: 0.005
[53/1429] Loss: 0.5272 | LR: 0.005
[54/1429] Loss: 0.9671 | LR: 0.005
[55/1429] Loss: 0.4165 | LR: 0.005
